1 0.794901 638.228271, 1005.545593, 114.966614, 164.493591
1 0.771227 461.656433, 1588.644165, 128.956238, 280.123413
1 0.768249 648.845215, 1274.535156, 122.33606, 194.358398
1 0.760551 476.078766, 192.215057, 100.288544, 136.625793
1 0.742543 389.260498, 196.229156, 95.939941, 134.054932
1 0.739889 786.565186, 1007.43103, 117.380249, 193.923462
1 0.737516 651.6698, 135.940735, 104.220947, 74.031265
1 0.733389 648.250549, 202.604797, 96.367004, 125.696075
1 0.724048 995.00061, 197.237152, 82.22229, 138.398987
1 0.722641 567.50592, 190.481598, 92.355835, 137.878845
1 0.721083 451.600769, 798.750366, 89.579285, 163.847107
1 0.719223 734.174927, 1562.015991, 133.030029, 256.793823
1 0.714782 730.332092, 213.932129, 90.53479, 119.52533
1 0.712284 761.661682, 1287.791016, 120.210693, 227.960571
1 0.712148 329.812012, 711.551147, 137.110291, 252.956055
1 0.709804 605.379883, 1564.516968, 133.546509, 232.764526
1 0.706527 454.752014, 506.149475, 77.382812, 144.098999
1 0.702549 920.081848, 721.643738, 147.557556, 246.118347
1 0.698772 347.353882, 1584.754761, 123.500427, 269.010132
1 0.693547 627.116821, 502.276703, 82.290161, 156.43576
1 0.69055 964.311157, 1747.498779, 65.710083, 137.521118
1 0.690327 327.545074, 395.286407, 142.156158, 273.426178
1 0.68834 442.580872, 1003.096191, 124.863647, 225.033203
1 0.685622 827.832825, 409.837341, 136.552551, 249.799622
1 0.685532 674.740845, 726.526367, 122.740906, 220.580872
1 0.684388 905.135559, 200.535248, 100.788086, 133.327148
1 0.678986 866.9328, 1285.220459, 122.018005, 230.23291
1 0.670566 510.477356, 405.742676, 130.972229, 249.129211
1 0.669847 850.03595, 1603.057983, 133.249573, 279.414917
1 0.668386 708.015991, 414.146973, 130.248169, 247.682312
1 0.667546 483.799561, 1278.034912, 99.635864, 184.973389
1 0.666252 301.839172, 182.94928, 104.638275, 140.782349
1 0.660801 4.176736, 522.345093, 100.57778, 264.150879
1 0.658607 563.5802, 132.521362, 103.274841, 71.662521
1 0.656897 770.679688, 792.050354, 69.229492, 147.633423
1 0.656245 473.48877, 128.607559, 103.739136, 74.515945
1 0.640956 137.204453, 524.632996, 93.374405, 245.440613
1 0.639376 808.028687, 212.468872, 98.56958, 121.824615
1 0.637524 915.501465, 1016.690063, 146.975952, 210.001953
1 0.635329 81.187531, 1603.284058, 97.725479, 261.421265
1 0.632252 833.537781, 715.540527, 105.883972, 230.155273
1 0.626779 554.353638, 705.753296, 122.49585, 210.743408
1 0.626171 381.32193, 1282.018311, 127.236725, 223.705566
1 0.624544 553.600586, 999.069153, 95.851868, 148.751404
1 0.616844 61.612549, 911.025513, 94.157562, 257.827148
1 0.614154 738.53479, 1004.862305, 67.614319, 162.93811
1 0.607893 574.817078, 1712.531982, 62.171509, 134.455933
1 0.602749 995.369995, 134.468262, 84.630005, 76.396805
1 0.601632 2.661844, 909.43866, 70.588721, 259.604065
